5.1345 7.8176 -7.7468
4.5482 8.0813 -6.9808
5.1326 7.8281 -7.7517
4.9565 8.7713 -7.4701
5.4037 9.5391 -7.0112
5.6521 8.7583 -6.4380
5.1908 9.2156 -7.1983
4.7445 8.5464 -7.7924
5.5845 8.8893 -8.2128
4.9834 8.1878 -8.5956
5.8997 8.5201 -8.8190
6.1823 9.2092 -9.4864
5.5768 8.7251 -10.1180
6.3025 8.5155 -9.4628
5.6172 8.4475 -8.7377
6.2763 7.6980 -8.6765
7.2736 7.6439 -8.7249
6.9354 8.1864 -9.4939
7.0272 9.1506 -9.2451
6.2394 9.1187 -9.8602
6.5285 9.8063 -9.1941
6.4336 8.9275 -9.6618
5.7793 9.2352 -10.3526
4.8053 9.0568 -10.4919
4.1810 9.5459 -11.1010
3.7005 9.1206 -11.8680
4.2298 9.5190 -12.6171
4.2660 8.5979 -13.0047
5.1424 9.0299 -13.2174
4.7263 8.2125 -13.6158
4.1678 8.8987 -14.0819
4.1687 8.3767 -14.9349
5.0038 8.8977 -14.7588
5.5670 9.3802 -15.4297
6.4875 9.6495 -15.1467
6.8131 9.3862 -14.2385
7.7635 9.6694 -14.3676
7.7859 10.6369 -14.1154
8.2815 9.9974 -13.5277
9.0157 9.4300 -13.1546
8.9305 10.4066 -13.3525
8.6056 9.4839 -13.1450
8.2887 9.8424 -12.2669
9.0103 9.2783 -12.6683
9.4300 9.6673 -13.4883
9.3552 9.5497 -12.4981
9.7988 9.0523 -11.7526
10.6301 8.5840 -11.4532
9.8011 8.0249 -11.4516
9.2592 7.8783 -10.6240
9.5447 8.8367 -10.6245
10.4969 8.8612 -10.9289
10.8255 9.7492 -10.6070
11.4698 9.5845 -11.3538
11.6858 10.5496 -11.2054
11.6936 9.6655 -10.7381
11.4486 9.0750 -11.5070
11.0462 9.5271 -12.3031
11.2559 8.5505 -12.2555
12.0274 8.0556 -12.6552
12.8409 7.5658 -12.9690
13.5572 7.2285 -12.3583
13.0566 7.6694 -11.6133
13.5313 7.8220 -12.4801
14.4066 8.0410 -12.0488
14.5021 7.2836 -12.6947
14.6137 7.1530 -11.7096
13.9894 6.5205 -12.1681
13.4728 7.0415 -12.8476
13.0536 6.4694 -13.5526
13.0215 7.2528 -12.9319
12.8623 6.9782 -13.8802
12.8730 7.7218 -14.5488
11.8827 7.7505 -14.6849
11.3922 7.7255 -15.5559
10.6877 8.4302 -15.4710
11.6717 8.4058 -15.2943
11.7066 8.9200 -14.4373
11.6018 7.9398 -14.6053
11.9317 7.8897 -13.6626
11.6206 7.5398 -14.5463
11.6613 7.8021 -15.5104
11.0113 8.1310 -14.8253
11.6669 8.5579 -14.2024
11.2496 7.6580 -14.0755
11.7182 7.6806 -14.9587
12.0730 8.3009 -14.2592
11.3651 7.5953 -14.2898
10.7877 8.2086 -14.8289
11.6288 8.4237 -15.3252
12.0905 7.8946 -14.6132
11.5940 8.4756 -13.9683
12.1035 7.6724 -14.2767
11.7620 8.4145 -13.7000
11.1391 8.2531 -12.9345
10.9957 7.5392 -12.2490
10.4513 6.7800 -11.8923
9.5838 6.6567 -11.4104
9.6493 6.8380 -12.3917
10.4253 7.3629 -12.7412
10.2580 8.1547 -13.3286
11.0119 8.4493 -12.7414
11.4923 7.8617 -13.3924
11.4204 8.4867 -14.1697
12.2170 8.5621 -14.7695
13.1402 8.1784 -14.7901
13.1834 9.1760 -14.8450
12.4618 9.5007 -14.2337
12.3383 8.5189 -14.3778
11.6518 9.1839 -14.6719
11.0222 8.9669 -13.9260
11.5763 8.2261 -13.5463
11.1999 7.6039 -14.2326
10.6726 6.9014 -13.7546
