lnN lnDN
9.969228475498804087e+00 4.727387818712340817e+00
9.963923921339958412e+00 4.624972813284270678e+00
9.959111456284125197e+00 4.753590191106364493e+00
9.953610161939337786e+00 4.653960350157523074e+00
9.948604311339250827e+00 4.564348191467836102e+00
9.944005500839015355e+00 4.584967478670572305e+00
9.939288964999510867e+00 4.418840607796598263e+00
9.935276875025534693e+00 4.488636369732139642e+00
9.930956794525673814e+00 4.691347882229143451e+00
9.925640357177261563e+00 4.709530201312333908e+00
9.920197166099075758e+00 4.605170185988091802e+00
9.915267891071659179e+00 4.644390899141372486e+00
9.910115538826348214e+00 4.634728988229635860e+00
9.904986428659864117e+00 4.521788577049040470e+00
9.900382737582649639e+00 4.672828834461905778e+00
9.895001648885829226e+00 4.553876891600540766e+00
9.890199658209192890e+00 4.691347882229143451e+00
9.884661448286079732e+00 4.779123493111529619e+00
9.878579916829943741e+00 4.521788577049040470e+00
9.873852747406436592e+00 4.442651256490316669e+00
9.869465303921691302e+00 4.343805421853684123e+00
9.865474110337911995e+00 4.418840607796598263e+00
9.861153999520048785e+00 4.532599493153256276e+00
9.856291117705152871e+00 4.465908118654583703e+00
9.851720461714245758e+00 4.744932128363250179e+00
9.845646552846277544e+00 4.574710978503382819e+00
9.840494503208207178e+00 4.553876891600540766e+00
9.835422821621998324e+00 4.465908118654583703e+00
9.830755556370029069e+00 4.465908118654583703e+00
9.826066405567543072e+00 4.394449154672439128e+00
9.821680789832036851e+00 4.499809670330265021e+00
9.816785218696834292e+00 4.454347296253507338e+00
9.812084729062783950e+00 4.442651256490316669e+00
9.807417083785393785e+00 4.290459441148390951e+00
9.803390935997843059e+00 4.442651256490316669e+00
9.798682438170001063e+00 4.543294782270003829e+00
9.793449447327191137e+00 4.442651256490316669e+00
9.788693794534045978e+00 4.553876891600540766e+00
9.783351751296146759e+00 4.574710978503382819e+00
9.777867638611477119e+00 4.488636369732139642e+00
9.772809228894011824e+00 4.510859506516849748e+00
9.767610553984773958e+00 4.499809670330265021e+00
9.762442287054012624e+00 4.317488113536310124e+00
9.758114899520375474e+00 4.343805421853684123e+00
9.753652546776471866e+00 4.442651256490316669e+00
9.748703338735261070e+00 4.532599493153256276e+00
9.743260113215239215e+00 4.532599493153256276e+00
9.737787096758410144e+00 4.605170185988091802e+00
9.731868518875309348e+00 4.369447852467021498e+00
9.727167947937807924e+00 4.304065093204170189e+00
9.722744748855388863e+00 4.499809670330265021e+00
9.717338680907786852e+00 4.290459441148390951e+00
9.712932190815068978e+00 4.477336814478206861e+00
9.707594315712078981e+00 4.418840607796598263e+00
9.702533483594171670e+00 4.564348191467836102e+00
9.696647867928447795e+00 4.276666119016055312e+00
9.692210811286752659e+00 4.382026634673881205e+00
9.687257547490986553e+00 4.521788577049040470e+00
9.681530796701483865e+00 4.382026634673881205e+00
9.676524215119053807e+00 4.488636369732139642e+00
9.670924779305426711e+00 4.394449154672439128e+00
9.665801266405587455e+00 4.430816798843313364e+00
9.660460120624778213e+00 4.343805421853684123e+00
9.655538882302947101e+00 4.262679877041315457e+00
9.650979555092000339e+00 4.454347296253507338e+00
9.645429005150418789e+00 4.290459441148390951e+00
9.640693195592126230e+00 4.356708826689591696e+00
9.635608107380527088e+00 4.262679877041315457e+00
9.630956783851690517e+00 4.189654742026425183e+00
9.626613528800939790e+00 4.234106504597259679e+00
9.622052592844813290e+00 4.304065093204170189e+00
9.617137925318125724e+00 4.394449154672439128e+00
9.611730522042316593e+00 4.234106504597259679e+00
9.607101039454200020e+00 4.304065093204170189e+00
9.602112152952344104e+00 4.330733340286331057e+00
9.596962392282867071e+00 4.454347296253507338e+00
9.591102867443975555e+00 4.430816798843313364e+00
9.585346272599638340e+00 4.442651256490316669e+00
