lnN lnDN
1.032626853840952386e+01 5.105945473900580289e+00
1.032084829289068040e+01 5.017279836814924288e+00
1.031586206894522739e+01 4.990432586778736024e+00
1.031098392955337140e+01 5.023880520846276454e+00
1.030591471743084142e+01 5.153291594497779293e+00
1.030011371197708847e+01 5.049856007249537093e+00
1.029485373626479117e+01 5.093750200806762329e+00
1.028932801750799264e+01 5.075173815233826602e+00
1.028387414026775559e+01 4.820281565605037066e+00
1.027962683126246368e+01 4.875197323201151178e+00
1.027512007210784084e+01 4.948759890378168436e+00
1.027024648176221255e+01 5.111987788356543660e+00
1.026447817054246237e+01 4.983606621708336348e+00
1.025937718820101985e+01 5.056245805348307698e+00
1.025386269432633313e+01 5.117993812416755439e+00
1.024796338901786363e+01 4.919980925828125073e+00
1.024309771784826850e+01 4.997212273764114698e+00
1.023781463281095228e+01 4.969813299576000709e+00
1.023264740443421772e+01 4.812184355372417066e+00
1.022821248757608359e+01 4.997212273764114698e+00
1.022284996159087989e+01 4.859812404361671945e+00
1.021815229631779509e+01 4.919980925828125073e+00
1.021313902079189084e+01 4.990432586778736024e+00
1.020773171328688811e+01 4.934473933130691492e+00
1.020259164465288215e+01 4.828313737302301512e+00
1.019794660926693197e+01 4.912654885736052357e+00
1.019286818162349029e+01 4.990432586778736024e+00
1.018734983888504431e+01 4.836281906951477971e+00
1.018259547176777069e+01 4.836281906951477971e+00
1.017781839261949095e+01 4.828313737302301512e+00
1.017305656956098225e+01 4.890349128221753716e+00
1.016796496734331434e+01 4.762173934797756303e+00
1.016346435389568725e+01 4.820281565605037066e+00
1.015867225939513219e+01 4.836281906951477971e+00
1.015377923576934904e+01 4.770684624465665102e+00
1.014917506828523308e+01 4.905274778438429628e+00
1.014388145725686563e+01 4.744932128363250179e+00
1.013934987625811246e+01 4.890349128221753716e+00
1.013408326737537735e+01 4.836281906951477971e+00
1.012906813188375565e+01 4.828313737302301512e+00
1.012406782144717354e+01 4.709530201312333908e+00
1.011960648891337300e+01 4.905274778438429628e+00
1.011415358233922568e+01 4.897839799950911122e+00
1.010871150254738637e+01 4.867534450455582196e+00
1.010340341773103390e+01 4.836281906951477971e+00
1.009823162932863916e+01 4.905274778438429628e+00
1.009266058427918367e+01 4.718498871295094155e+00
1.008801500787924432e+01 4.890349128221753716e+00
1.008247020806456717e+01 4.795790545596741339e+00
1.007739884197011193e+01 4.770684624465665102e+00
1.007242831783602099e+01 4.770684624465665102e+00
1.006743296412437338e+01 4.624972813284270678e+00
1.006309474704496587e+01 4.787491742782045812e+00
1.005796674982418715e+01 4.976733742420574202e+00
1.005173512899633081e+01 4.820281565605037066e+00
1.004637504008467630e+01 4.718498871295094155e+00
1.004150885043350350e+01 4.897839799950911122e+00
1.003565551611354500e+01 4.828313737302301512e+00
1.003016425536263156e+01 4.564348191467836102e+00
1.002592639972870536e+01 4.744932128363250179e+00
1.002082604495336149e+01 4.682131227124219919e+00
1.001601234337797308e+01 4.969813299576000709e+00
1.000955781626319485e+01 4.859812404361671945e+00
1.000374004442521958e+01 4.753590191106364493e+00
9.998479499891695710e+00 4.709530201312333908e+00
9.993419660036735763e+00 4.836281906951477971e+00
9.987644860542850722e+00 4.682131227124219919e+00
9.982668350410568436e+00 4.644390899141372486e+00
9.977852634491434003e+00 4.744932128363250179e+00
9.972500423823081661e+00 4.595119850134589790e+00
9.967869811465396523e+00 4.682131227124219919e+00
9.962793658433534816e+00 4.718498871295094155e+00
9.957502140842366956e+00 4.736198448394495664e+00
9.952087222372190567e+00 4.653960350157523074e+00
9.947073723199048700e+00 4.584967478670572305e+00
9.942371670586094723e+00 4.499809670330265021e+00
9.938033896288711588e+00 4.521788577049040470e+00
9.933580192843297851e+00 4.564348191467836102e+00
9.928911604876287100e+00 4.465908118654583703e+00
9.924661787767535159e+00 4.682131227124219919e+00
9.919360901692417798e+00 4.644390899141372486e+00
9.914229649068030170e+00 4.521788577049040470e+00
9.909668411611209038e+00 4.477336814478206861e+00
9.905285934477507936e+00 4.653960350157523074e+00
9.900031587562738267e+00 4.672828834461905778e+00
9.894648603868922976e+00 4.465908118654583703e+00
9.890250325754108118e+00 4.510859506516849748e+00
9.885629034234815649e+00 4.709530201312333908e+00
9.879963007489170224e+00 4.521788577049040470e+00
9.875242387095825691e+00 4.394449154672439128e+00
9.871067661280017447e+00 4.418840607796598263e+00
9.866771699599468093e+00 4.488636369732139642e+00
9.862144589001745842e+00 4.488636369732139642e+00
9.857495968685135779e+00 4.454347296253507338e+00
9.852983420362360079e+00 4.143134726391532574e+00
9.849664745838621727e+00 4.406719247264253347e+00
9.845328638362595086e+00 4.477336814478206861e+00
9.840654243364559406e+00 4.574710978503382819e+00
9.835476341919584087e+00 4.499809670330265021e+00
9.830648006359171021e+00 4.442651256490316669e+00
9.826066405567543072e+00 4.634728988229635860e+00
9.820486306032721657e+00 4.477336814478206861e+00
9.815694051585460045e+00 4.477336814478206861e+00
9.810878720803465569e+00 4.644390899141372486e+00
9.805157818462918229e+00 4.584967478670572305e+00
9.799736851542199645e+00 4.553876891600540766e+00
9.794453631511993663e+00 4.510859506516849748e+00
9.789366553431428031e+00 4.356708826689591696e+00
9.784985508455127601e+00 4.488636369732139642e+00
9.779963066250630277e+00 4.543294782270003829e+00
9.774630930411124297e+00 4.060443010546419096e+00
9.771326648933788661e+00 4.290459441148390951e+00
9.767152232578871107e+00 4.477336814478206861e+00
